"","route","region","nyears","matssname"
"1",1,2,28,"bbs_rtrg_1_2"
"2",1,14,29,"bbs_rtrg_1_14"
"3",1,17,27,"bbs_rtrg_1_17"
"4",1,21,29,"bbs_rtrg_1_21"
"5",1,25,25,"bbs_rtrg_1_25"
"6",1,27,25,"bbs_rtrg_1_27"
"7",1,33,24,"bbs_rtrg_1_33"
"8",1,34,27,"bbs_rtrg_1_34"
"9",1,36,27,"bbs_rtrg_1_36"
"10",1,38,24,"bbs_rtrg_1_38"
"11",1,44,25,"bbs_rtrg_1_44"
"12",1,45,26,"bbs_rtrg_1_45"
"13",1,46,27,"bbs_rtrg_1_46"
"14",1,47,28,"bbs_rtrg_1_47"
"15",1,52,27,"bbs_rtrg_1_52"
"16",1,54,27,"bbs_rtrg_1_54"
"17",1,58,30,"bbs_rtrg_1_58"
"18",1,59,26,"bbs_rtrg_1_59"
"19",1,64,29,"bbs_rtrg_1_64"
"20",1,69,24,"bbs_rtrg_1_69"
"21",1,76,30,"bbs_rtrg_1_76"
"22",1,81,27,"bbs_rtrg_1_81"
"23",1,82,27,"bbs_rtrg_1_82"
"24",1,83,28,"bbs_rtrg_1_83"
"25",1,89,29,"bbs_rtrg_1_89"
"26",1,90,24,"bbs_rtrg_1_90"
"27",1,91,26,"bbs_rtrg_1_91"
"28",1,92,26,"bbs_rtrg_1_92"
"29",2,4,28,"bbs_rtrg_2_4"
"30",2,7,24,"bbs_rtrg_2_7"
"31",2,17,26,"bbs_rtrg_2_17"
"32",2,21,26,"bbs_rtrg_2_21"
"33",2,33,27,"bbs_rtrg_2_33"
"34",2,34,30,"bbs_rtrg_2_34"
"35",2,36,30,"bbs_rtrg_2_36"
"36",2,39,26,"bbs_rtrg_2_39"
"37",2,45,30,"bbs_rtrg_2_45"
"38",2,52,28,"bbs_rtrg_2_52"
"39",2,53,30,"bbs_rtrg_2_53"
"40",2,54,26,"bbs_rtrg_2_54"
"41",2,59,27,"bbs_rtrg_2_59"
"42",2,60,27,"bbs_rtrg_2_60"
"43",2,63,30,"bbs_rtrg_2_63"
"44",2,72,27,"bbs_rtrg_2_72"
"45",2,76,24,"bbs_rtrg_2_76"
"46",2,80,27,"bbs_rtrg_2_80"
"47",2,89,30,"bbs_rtrg_2_89"
"48",2,91,27,"bbs_rtrg_2_91"
"49",2,92,29,"bbs_rtrg_2_92"
"50",3,3,24,"bbs_rtrg_3_3"
"51",3,4,26,"bbs_rtrg_3_4"
"52",3,14,26,"bbs_rtrg_3_14"
"53",3,17,25,"bbs_rtrg_3_17"
"54",3,18,28,"bbs_rtrg_3_18"
"55",3,21,29,"bbs_rtrg_3_21"
"56",3,34,29,"bbs_rtrg_3_34"
"57",3,36,29,"bbs_rtrg_3_36"
"58",3,38,26,"bbs_rtrg_3_38"
"59",3,39,29,"bbs_rtrg_3_39"
"60",3,44,28,"bbs_rtrg_3_44"
"61",3,46,30,"bbs_rtrg_3_46"
"62",3,50,29,"bbs_rtrg_3_50"
"63",3,52,24,"bbs_rtrg_3_52"
"64",3,58,30,"bbs_rtrg_3_58"
"65",3,59,29,"bbs_rtrg_3_59"
"66",3,60,25,"bbs_rtrg_3_60"
"67",3,63,28,"bbs_rtrg_3_63"
"68",3,66,25,"bbs_rtrg_3_66"
"69",3,69,27,"bbs_rtrg_3_69"
"70",3,76,28,"bbs_rtrg_3_76"
"71",3,80,30,"bbs_rtrg_3_80"
"72",3,81,30,"bbs_rtrg_3_81"
"73",3,82,27,"bbs_rtrg_3_82"
"74",3,88,26,"bbs_rtrg_3_88"
"75",3,89,27,"bbs_rtrg_3_89"
"76",3,91,29,"bbs_rtrg_3_91"
"77",4,4,28,"bbs_rtrg_4_4"
"78",4,7,28,"bbs_rtrg_4_7"
"79",4,17,29,"bbs_rtrg_4_17"
"80",4,21,26,"bbs_rtrg_4_21"
"81",4,25,24,"bbs_rtrg_4_25"
"82",4,27,24,"bbs_rtrg_4_27"
"83",4,38,25,"bbs_rtrg_4_38"
"84",4,44,27,"bbs_rtrg_4_44"
"85",4,46,29,"bbs_rtrg_4_46"
"86",4,52,24,"bbs_rtrg_4_52"
"87",4,54,25,"bbs_rtrg_4_54"
"88",4,58,30,"bbs_rtrg_4_58"
"89",4,60,29,"bbs_rtrg_4_60"
"90",4,63,29,"bbs_rtrg_4_63"
"91",4,64,27,"bbs_rtrg_4_64"
"92",4,72,27,"bbs_rtrg_4_72"
"93",4,76,28,"bbs_rtrg_4_76"
"94",4,82,27,"bbs_rtrg_4_82"
"95",4,85,28,"bbs_rtrg_4_85"
"96",4,88,29,"bbs_rtrg_4_88"
"97",4,89,30,"bbs_rtrg_4_89"
"98",4,91,30,"bbs_rtrg_4_91"
"99",5,7,30,"bbs_rtrg_5_7"
"100",5,27,26,"bbs_rtrg_5_27"
"101",5,35,30,"bbs_rtrg_5_35"
"102",5,45,29,"bbs_rtrg_5_45"
"103",5,46,30,"bbs_rtrg_5_46"
"104",5,58,27,"bbs_rtrg_5_58"
"105",5,60,27,"bbs_rtrg_5_60"
"106",5,63,27,"bbs_rtrg_5_63"
"107",5,64,28,"bbs_rtrg_5_64"
"108",5,66,27,"bbs_rtrg_5_66"
"109",5,67,24,"bbs_rtrg_5_67"
"110",5,68,27,"bbs_rtrg_5_68"
"111",5,72,27,"bbs_rtrg_5_72"
"112",5,75,28,"bbs_rtrg_5_75"
"113",5,76,30,"bbs_rtrg_5_76"
"114",5,87,28,"bbs_rtrg_5_87"
"115",5,88,30,"bbs_rtrg_5_88"
"116",5,89,28,"bbs_rtrg_5_89"
"117",5,91,28,"bbs_rtrg_5_91"
"118",5,92,30,"bbs_rtrg_5_92"
"119",6,14,26,"bbs_rtrg_6_14"
"120",6,17,25,"bbs_rtrg_6_17"
"121",6,25,26,"bbs_rtrg_6_25"
"122",6,27,24,"bbs_rtrg_6_27"
"123",6,36,30,"bbs_rtrg_6_36"
"124",6,38,28,"bbs_rtrg_6_38"
"125",6,39,29,"bbs_rtrg_6_39"
"126",6,44,30,"bbs_rtrg_6_44"
"127",6,46,30,"bbs_rtrg_6_46"
"128",6,47,24,"bbs_rtrg_6_47"
"129",6,53,28,"bbs_rtrg_6_53"
"130",6,58,28,"bbs_rtrg_6_58"
"131",6,60,27,"bbs_rtrg_6_60"
"132",6,66,25,"bbs_rtrg_6_66"
"133",6,68,28,"bbs_rtrg_6_68"
"134",6,72,30,"bbs_rtrg_6_72"
"135",6,76,26,"bbs_rtrg_6_76"
"136",6,82,30,"bbs_rtrg_6_82"
"137",6,87,27,"bbs_rtrg_6_87"
"138",6,89,25,"bbs_rtrg_6_89"
"139",6,91,26,"bbs_rtrg_6_91"
"140",7,2,28,"bbs_rtrg_7_2"
"141",7,7,28,"bbs_rtrg_7_7"
"142",7,14,25,"bbs_rtrg_7_14"
"143",7,18,26,"bbs_rtrg_7_18"
"144",7,27,24,"bbs_rtrg_7_27"
"145",7,36,24,"bbs_rtrg_7_36"
"146",7,38,27,"bbs_rtrg_7_38"
"147",7,44,29,"bbs_rtrg_7_44"
"148",7,45,25,"bbs_rtrg_7_45"
"149",7,47,24,"bbs_rtrg_7_47"
"150",7,52,29,"bbs_rtrg_7_52"
"151",7,53,24,"bbs_rtrg_7_53"
"152",7,54,27,"bbs_rtrg_7_54"
"153",7,55,25,"bbs_rtrg_7_55"
"154",7,58,28,"bbs_rtrg_7_58"
"155",7,64,28,"bbs_rtrg_7_64"
"156",7,68,27,"bbs_rtrg_7_68"
"157",7,87,26,"bbs_rtrg_7_87"
"158",7,88,29,"bbs_rtrg_7_88"
"159",7,91,25,"bbs_rtrg_7_91"
"160",7,92,28,"bbs_rtrg_7_92"
"161",8,7,28,"bbs_rtrg_8_7"
"162",8,18,28,"bbs_rtrg_8_18"
"163",8,34,25,"bbs_rtrg_8_34"
"164",8,38,28,"bbs_rtrg_8_38"
"165",8,46,28,"bbs_rtrg_8_46"
"166",8,50,30,"bbs_rtrg_8_50"
"167",8,52,26,"bbs_rtrg_8_52"
"168",8,53,26,"bbs_rtrg_8_53"
"169",8,54,25,"bbs_rtrg_8_54"
"170",8,58,30,"bbs_rtrg_8_58"
"171",8,60,24,"bbs_rtrg_8_60"
"172",8,61,26,"bbs_rtrg_8_61"
"173",8,64,25,"bbs_rtrg_8_64"
"174",8,68,24,"bbs_rtrg_8_68"
"175",8,69,27,"bbs_rtrg_8_69"
"176",8,72,29,"bbs_rtrg_8_72"
"177",8,76,26,"bbs_rtrg_8_76"
"178",8,85,25,"bbs_rtrg_8_85"
"179",8,88,25,"bbs_rtrg_8_88"
"180",8,91,28,"bbs_rtrg_8_91"
"181",9,4,28,"bbs_rtrg_9_4"
"182",9,17,29,"bbs_rtrg_9_17"
"183",9,18,30,"bbs_rtrg_9_18"
"184",9,25,25,"bbs_rtrg_9_25"
"185",9,34,27,"bbs_rtrg_9_34"
"186",9,35,27,"bbs_rtrg_9_35"
"187",9,39,28,"bbs_rtrg_9_39"
"188",9,42,27,"bbs_rtrg_9_42"
"189",9,43,25,"bbs_rtrg_9_43"
"190",9,44,24,"bbs_rtrg_9_44"
"191",9,46,26,"bbs_rtrg_9_46"
"192",9,47,29,"bbs_rtrg_9_47"
"193",9,50,27,"bbs_rtrg_9_50"
"194",9,53,30,"bbs_rtrg_9_53"
"195",9,58,29,"bbs_rtrg_9_58"
"196",9,60,28,"bbs_rtrg_9_60"
"197",9,61,25,"bbs_rtrg_9_61"
"198",9,64,27,"bbs_rtrg_9_64"
"199",9,69,28,"bbs_rtrg_9_69"
"200",9,72,25,"bbs_rtrg_9_72"
"201",9,75,25,"bbs_rtrg_9_75"
"202",9,76,27,"bbs_rtrg_9_76"
"203",9,82,29,"bbs_rtrg_9_82"
"204",9,87,25,"bbs_rtrg_9_87"
"205",9,89,27,"bbs_rtrg_9_89"
"206",9,91,26,"bbs_rtrg_9_91"
"207",10,2,27,"bbs_rtrg_10_2"
"208",10,3,29,"bbs_rtrg_10_3"
"209",10,4,27,"bbs_rtrg_10_4"
"210",10,7,27,"bbs_rtrg_10_7"
"211",10,21,26,"bbs_rtrg_10_21"
"212",10,25,29,"bbs_rtrg_10_25"
"213",10,27,27,"bbs_rtrg_10_27"
"214",10,33,28,"bbs_rtrg_10_33"
"215",10,34,28,"bbs_rtrg_10_34"
"216",10,35,30,"bbs_rtrg_10_35"
"217",10,38,27,"bbs_rtrg_10_38"
"218",10,39,27,"bbs_rtrg_10_39"
"219",10,42,25,"bbs_rtrg_10_42"
"220",10,52,30,"bbs_rtrg_10_52"
"221",10,53,24,"bbs_rtrg_10_53"
"222",10,58,30,"bbs_rtrg_10_58"
"223",10,59,27,"bbs_rtrg_10_59"
"224",10,60,27,"bbs_rtrg_10_60"
"225",10,63,30,"bbs_rtrg_10_63"
"226",10,64,27,"bbs_rtrg_10_64"
"227",10,72,30,"bbs_rtrg_10_72"
"228",10,81,30,"bbs_rtrg_10_81"
"229",10,82,30,"bbs_rtrg_10_82"
"230",10,85,24,"bbs_rtrg_10_85"
"231",10,87,28,"bbs_rtrg_10_87"
"232",10,88,25,"bbs_rtrg_10_88"
"233",10,91,28,"bbs_rtrg_10_91"
"234",11,3,25,"bbs_rtrg_11_3"
"235",11,17,30,"bbs_rtrg_11_17"
"236",11,34,25,"bbs_rtrg_11_34"
"237",11,35,30,"bbs_rtrg_11_35"
"238",11,36,26,"bbs_rtrg_11_36"
"239",11,38,24,"bbs_rtrg_11_38"
"240",11,39,25,"bbs_rtrg_11_39"
"241",11,42,25,"bbs_rtrg_11_42"
"242",11,46,30,"bbs_rtrg_11_46"
"243",11,47,25,"bbs_rtrg_11_47"
"244",11,52,30,"bbs_rtrg_11_52"
"245",11,55,25,"bbs_rtrg_11_55"
"246",11,58,29,"bbs_rtrg_11_58"
"247",11,63,30,"bbs_rtrg_11_63"
"248",11,64,29,"bbs_rtrg_11_64"
"249",11,65,25,"bbs_rtrg_11_65"
"250",11,66,24,"bbs_rtrg_11_66"
"251",11,67,30,"bbs_rtrg_11_67"
"252",11,68,28,"bbs_rtrg_11_68"
"253",11,80,25,"bbs_rtrg_11_80"
"254",11,83,28,"bbs_rtrg_11_83"
"255",11,85,30,"bbs_rtrg_11_85"
"256",11,87,24,"bbs_rtrg_11_87"
"257",11,91,28,"bbs_rtrg_11_91"
"258",11,92,25,"bbs_rtrg_11_92"
"259",12,6,27,"bbs_rtrg_12_6"
"260",12,17,25,"bbs_rtrg_12_17"
"261",12,25,24,"bbs_rtrg_12_25"
"262",12,33,25,"bbs_rtrg_12_33"
"263",12,34,28,"bbs_rtrg_12_34"
"264",12,35,26,"bbs_rtrg_12_35"
"265",12,42,26,"bbs_rtrg_12_42"
"266",12,44,27,"bbs_rtrg_12_44"
"267",12,45,25,"bbs_rtrg_12_45"
"268",12,46,24,"bbs_rtrg_12_46"
"269",12,50,25,"bbs_rtrg_12_50"
"270",12,54,29,"bbs_rtrg_12_54"
"271",12,58,25,"bbs_rtrg_12_58"
"272",12,63,25,"bbs_rtrg_12_63"
"273",12,64,25,"bbs_rtrg_12_64"
"274",12,68,30,"bbs_rtrg_12_68"
"275",12,72,24,"bbs_rtrg_12_72"
"276",12,76,25,"bbs_rtrg_12_76"
"277",12,85,27,"bbs_rtrg_12_85"
"278",12,91,30,"bbs_rtrg_12_91"
"279",13,7,28,"bbs_rtrg_13_7"
"280",13,17,26,"bbs_rtrg_13_17"
"281",13,34,26,"bbs_rtrg_13_34"
"282",13,35,30,"bbs_rtrg_13_35"
"283",13,36,30,"bbs_rtrg_13_36"
"284",13,38,28,"bbs_rtrg_13_38"
"285",13,44,30,"bbs_rtrg_13_44"
"286",13,45,29,"bbs_rtrg_13_45"
"287",13,46,30,"bbs_rtrg_13_46"
"288",13,53,28,"bbs_rtrg_13_53"
"289",13,54,25,"bbs_rtrg_13_54"
"290",13,58,29,"bbs_rtrg_13_58"
"291",13,59,25,"bbs_rtrg_13_59"
"292",13,60,28,"bbs_rtrg_13_60"
"293",13,63,26,"bbs_rtrg_13_63"
"294",13,65,24,"bbs_rtrg_13_65"
"295",13,72,24,"bbs_rtrg_13_72"
"296",13,82,27,"bbs_rtrg_13_82"
"297",13,88,24,"bbs_rtrg_13_88"
"298",13,91,27,"bbs_rtrg_13_91"
"299",14,2,28,"bbs_rtrg_14_2"
"300",14,6,28,"bbs_rtrg_14_6"
"301",14,14,26,"bbs_rtrg_14_14"
"302",14,25,29,"bbs_rtrg_14_25"
"303",14,27,25,"bbs_rtrg_14_27"
"304",14,33,28,"bbs_rtrg_14_33"
"305",14,34,28,"bbs_rtrg_14_34"
"306",14,35,30,"bbs_rtrg_14_35"
"307",14,36,28,"bbs_rtrg_14_36"
"308",14,38,30,"bbs_rtrg_14_38"
"309",14,46,30,"bbs_rtrg_14_46"
"310",14,47,30,"bbs_rtrg_14_47"
"311",14,52,30,"bbs_rtrg_14_52"
"312",14,53,26,"bbs_rtrg_14_53"
"313",14,54,29,"bbs_rtrg_14_54"
"314",14,56,24,"bbs_rtrg_14_56"
"315",14,58,30,"bbs_rtrg_14_58"
"316",14,61,25,"bbs_rtrg_14_61"
"317",14,63,25,"bbs_rtrg_14_63"
"318",14,64,25,"bbs_rtrg_14_64"
"319",14,65,25,"bbs_rtrg_14_65"
"320",14,67,28,"bbs_rtrg_14_67"
"321",14,68,29,"bbs_rtrg_14_68"
"322",14,72,24,"bbs_rtrg_14_72"
"323",14,87,26,"bbs_rtrg_14_87"
"324",14,88,30,"bbs_rtrg_14_88"
"325",14,91,27,"bbs_rtrg_14_91"
"326",15,7,29,"bbs_rtrg_15_7"
"327",15,25,27,"bbs_rtrg_15_25"
"328",15,27,25,"bbs_rtrg_15_27"
"329",15,34,24,"bbs_rtrg_15_34"
"330",15,38,30,"bbs_rtrg_15_38"
"331",15,42,26,"bbs_rtrg_15_42"
"332",15,46,30,"bbs_rtrg_15_46"
"333",15,50,30,"bbs_rtrg_15_50"
"334",15,55,24,"bbs_rtrg_15_55"
"335",15,58,28,"bbs_rtrg_15_58"
"336",15,66,25,"bbs_rtrg_15_66"
"337",15,67,30,"bbs_rtrg_15_67"
"338",15,68,30,"bbs_rtrg_15_68"
"339",15,69,26,"bbs_rtrg_15_69"
"340",15,82,25,"bbs_rtrg_15_82"
"341",15,83,25,"bbs_rtrg_15_83"
"342",15,85,28,"bbs_rtrg_15_85"
"343",15,87,27,"bbs_rtrg_15_87"
"344",15,88,26,"bbs_rtrg_15_88"
"345",15,91,24,"bbs_rtrg_15_91"
"346",16,34,25,"bbs_rtrg_16_34"
"347",16,38,30,"bbs_rtrg_16_38"
"348",16,42,24,"bbs_rtrg_16_42"
"349",16,46,29,"bbs_rtrg_16_46"
"350",16,50,26,"bbs_rtrg_16_50"
"351",16,52,29,"bbs_rtrg_16_52"
"352",16,64,24,"bbs_rtrg_16_64"
"353",16,72,27,"bbs_rtrg_16_72"
"354",16,82,28,"bbs_rtrg_16_82"
"355",16,89,26,"bbs_rtrg_16_89"
"356",16,90,30,"bbs_rtrg_16_90"
"357",16,91,27,"bbs_rtrg_16_91"
"358",17,2,28,"bbs_rtrg_17_2"
"359",17,4,27,"bbs_rtrg_17_4"
"360",17,17,26,"bbs_rtrg_17_17"
"361",17,34,24,"bbs_rtrg_17_34"
"362",17,36,28,"bbs_rtrg_17_36"
"363",17,38,29,"bbs_rtrg_17_38"
"364",17,42,25,"bbs_rtrg_17_42"
"365",17,46,29,"bbs_rtrg_17_46"
"366",17,47,29,"bbs_rtrg_17_47"
"367",17,49,29,"bbs_rtrg_17_49"
"368",17,50,28,"bbs_rtrg_17_50"
"369",17,53,27,"bbs_rtrg_17_53"
"370",17,54,27,"bbs_rtrg_17_54"
"371",17,58,29,"bbs_rtrg_17_58"
"372",17,60,30,"bbs_rtrg_17_60"
"373",17,66,25,"bbs_rtrg_17_66"
"374",17,67,29,"bbs_rtrg_17_67"
"375",17,72,24,"bbs_rtrg_17_72"
"376",17,83,26,"bbs_rtrg_17_83"
"377",17,89,26,"bbs_rtrg_17_89"
"378",17,91,29,"bbs_rtrg_17_91"
"379",17,92,25,"bbs_rtrg_17_92"
"380",18,4,25,"bbs_rtrg_18_4"
"381",18,6,29,"bbs_rtrg_18_6"
"382",18,14,27,"bbs_rtrg_18_14"
"383",18,25,27,"bbs_rtrg_18_25"
"384",18,33,25,"bbs_rtrg_18_33"
"385",18,42,28,"bbs_rtrg_18_42"
"386",18,45,26,"bbs_rtrg_18_45"
"387",18,47,26,"bbs_rtrg_18_47"
"388",18,49,30,"bbs_rtrg_18_49"
"389",18,53,27,"bbs_rtrg_18_53"
"390",18,58,29,"bbs_rtrg_18_58"
"391",18,60,27,"bbs_rtrg_18_60"
"392",18,65,24,"bbs_rtrg_18_65"
"393",18,68,28,"bbs_rtrg_18_68"
"394",18,69,24,"bbs_rtrg_18_69"
"395",18,80,26,"bbs_rtrg_18_80"
"396",18,82,26,"bbs_rtrg_18_82"
"397",18,87,25,"bbs_rtrg_18_87"
"398",19,2,29,"bbs_rtrg_19_2"
"399",19,7,30,"bbs_rtrg_19_7"
"400",19,17,24,"bbs_rtrg_19_17"
"401",19,34,24,"bbs_rtrg_19_34"
"402",19,38,24,"bbs_rtrg_19_38"
"403",19,44,29,"bbs_rtrg_19_44"
"404",19,47,30,"bbs_rtrg_19_47"
"405",19,49,26,"bbs_rtrg_19_49"
"406",19,52,26,"bbs_rtrg_19_52"
"407",19,53,29,"bbs_rtrg_19_53"
"408",19,58,27,"bbs_rtrg_19_58"
"409",19,59,26,"bbs_rtrg_19_59"
"410",19,60,28,"bbs_rtrg_19_60"
"411",19,64,26,"bbs_rtrg_19_64"
"412",19,69,29,"bbs_rtrg_19_69"
"413",19,85,29,"bbs_rtrg_19_85"
"414",19,89,27,"bbs_rtrg_19_89"
"415",19,90,29,"bbs_rtrg_19_90"
"416",19,91,29,"bbs_rtrg_19_91"
"417",19,92,27,"bbs_rtrg_19_92"
"418",20,2,28,"bbs_rtrg_20_2"
"419",20,4,26,"bbs_rtrg_20_4"
"420",20,7,30,"bbs_rtrg_20_7"
"421",20,25,29,"bbs_rtrg_20_25"
"422",20,33,30,"bbs_rtrg_20_33"
"423",20,34,29,"bbs_rtrg_20_34"
"424",20,35,26,"bbs_rtrg_20_35"
"425",20,38,25,"bbs_rtrg_20_38"
"426",20,49,24,"bbs_rtrg_20_49"
"427",20,52,27,"bbs_rtrg_20_52"
"428",20,58,27,"bbs_rtrg_20_58"
"429",20,59,29,"bbs_rtrg_20_59"
"430",20,60,30,"bbs_rtrg_20_60"
"431",20,68,26,"bbs_rtrg_20_68"
"432",20,82,30,"bbs_rtrg_20_82"
"433",20,83,25,"bbs_rtrg_20_83"
"434",20,85,28,"bbs_rtrg_20_85"
"435",20,91,28,"bbs_rtrg_20_91"
"436",21,2,26,"bbs_rtrg_21_2"
"437",21,3,28,"bbs_rtrg_21_3"
"438",21,7,24,"bbs_rtrg_21_7"
"439",21,14,30,"bbs_rtrg_21_14"
"440",21,25,28,"bbs_rtrg_21_25"
"441",21,27,27,"bbs_rtrg_21_27"
"442",21,33,30,"bbs_rtrg_21_33"
"443",21,34,26,"bbs_rtrg_21_34"
"444",21,35,29,"bbs_rtrg_21_35"
"445",21,38,27,"bbs_rtrg_21_38"
