"","route","region","nyears","matssname"
"675",121,6,28,"bbs_rtrg_121_6"
"676",121,61,30,"bbs_rtrg_121_61"
"677",121,85,28,"bbs_rtrg_121_85"
"678",122,6,28,"bbs_rtrg_122_6"
"679",123,46,30,"bbs_rtrg_123_46"
"680",123,85,27,"bbs_rtrg_123_85"
"681",125,67,28,"bbs_rtrg_125_67"
"682",126,46,27,"bbs_rtrg_126_46"
"683",126,60,28,"bbs_rtrg_126_60"
"684",126,72,28,"bbs_rtrg_126_72"
"685",128,33,30,"bbs_rtrg_128_33"
"686",128,82,27,"bbs_rtrg_128_82"
"687",129,25,28,"bbs_rtrg_129_25"
"688",130,60,27,"bbs_rtrg_130_60"
"689",130,82,27,"bbs_rtrg_130_82"
"690",131,49,28,"bbs_rtrg_131_49"
"691",131,52,30,"bbs_rtrg_131_52"
"692",132,72,30,"bbs_rtrg_132_72"
"693",133,79,27,"bbs_rtrg_133_79"
"694",136,69,28,"bbs_rtrg_136_69"
"695",137,14,27,"bbs_rtrg_137_14"
"696",137,39,27,"bbs_rtrg_137_39"
"697",139,82,27,"bbs_rtrg_139_82"
"698",140,83,29,"bbs_rtrg_140_83"
"699",153,14,29,"bbs_rtrg_153_14"
"700",155,14,28,"bbs_rtrg_155_14"
"701",155,72,30,"bbs_rtrg_155_72"
"702",165,72,30,"bbs_rtrg_165_72"
"703",166,14,29,"bbs_rtrg_166_14"
"704",168,14,29,"bbs_rtrg_168_14"
"705",168,66,29,"bbs_rtrg_168_66"
"706",179,14,27,"bbs_rtrg_179_14"
"707",182,72,29,"bbs_rtrg_182_72"
"708",185,14,27,"bbs_rtrg_185_14"
"709",186,14,30,"bbs_rtrg_186_14"
"710",188,14,30,"bbs_rtrg_188_14"
"711",193,14,27,"bbs_rtrg_193_14"
"712",193,72,28,"bbs_rtrg_193_72"
"713",194,72,29,"bbs_rtrg_194_72"
"714",195,72,27,"bbs_rtrg_195_72"
"715",198,14,29,"bbs_rtrg_198_14"
"716",199,14,29,"bbs_rtrg_199_14"
"717",203,68,27,"bbs_rtrg_203_68"
"718",203,69,27,"bbs_rtrg_203_69"
"719",205,63,28,"bbs_rtrg_205_63"
"720",207,17,27,"bbs_rtrg_207_17"
"721",208,11,30,"bbs_rtrg_208_11"
"722",208,33,27,"bbs_rtrg_208_33"
"723",209,17,27,"bbs_rtrg_209_17"
"724",212,33,28,"bbs_rtrg_212_33"
"725",217,33,27,"bbs_rtrg_217_33"
"726",220,33,30,"bbs_rtrg_220_33"
"727",221,17,27,"bbs_rtrg_221_17"
"728",223,11,27,"bbs_rtrg_223_11"
"729",224,3,30,"bbs_rtrg_224_3"
"730",224,63,28,"bbs_rtrg_224_63"
"731",225,63,28,"bbs_rtrg_225_63"
"732",227,33,28,"bbs_rtrg_227_33"
"733",255,11,30,"bbs_rtrg_255_11"
"734",270,11,27,"bbs_rtrg_270_11"
"735",273,83,27,"bbs_rtrg_273_83"
"736",302,76,27,"bbs_rtrg_302_76"
"737",306,76,29,"bbs_rtrg_306_76"
"738",319,3,29,"bbs_rtrg_319_3"
"739",705,81,27,"bbs_rtrg_705_81"
